"""","出生数_人","出生数_男_人","出生数_女_人","死亡数_人","死亡数_男_人","死亡数_女_人","婚姻件数_件","離婚件数_件"
"平成22年(2010年)","7587.0","3858.0","3729.0","12049.0","6185.0","5864.0","4771.0","2077.0"
"平成23年(2011年)","7460.0","3750.0","3710.0","12310.0","6147.0","6163.0","4601.0","1890.0"
"平成24年(2012年)","7424.0","3778.0","3646.0","12435.0","6290.0","6145.0","4664.0","1959.0"
"平成25年(2013年)","7122.0","3603.0","3519.0","12773.0","6316.0","6457.0","4618.0","1961.0"
"","","","","","","","",""
"　和歌山市","2948.0","1523.0","1425.0","4332.0","2143.0","2189.0","1994.0","775.0"
"　海 南 市","304.0","156.0","148.0","711.0","360.0","351.0","213.0","66.0"
"　橋 本 市","422.0","214.0","208.0","720.0","365.0","355.0","254.0","114.0"
"　有 田 市","203.0","95.0","108.0","435.0","228.0","207.0","114.0","56.0"
"　御 坊 市","215.0","111.0","104.0","378.0","160.0","218.0","112.0","57.0"
"　田 辺 市","561.0","293.0","268.0","1009.0","510.0","499.0","403.0","164.0"
"　新 宮 市","240.0","131.0","109.0","485.0","249.0","236.0","126.0","65.0"
"　紀の川市","421.0","197.0","224.0","831.0","398.0","433.0","271.0","124.0"
"  岩 出 市","473.0","230.0","243.0","399.0","210.0","189.0","272.0","148.0"
"","","","","","","","",""
"　紀美野町","34.0","17.0","17.0","211.0","90.0","121.0","33.0","16.0"
"","","","","","","","",""
"　かつらぎ町","106.0","57.0","49.0","265.0","130.0","135.0","68.0","26.0"
"　九度山町","18.0","10.0","8.0","88.0","43.0","45.0","16.0","11.0"
"　高 野 町","17.0","8.0","9.0","86.0","36.0","50.0","15.0","6.0"
"","","","","","","","",""
"　湯 浅 町","90.0","38.0","52.0","205.0","102.0","103.0","61.0","20.0"
"　広 川 町","50.0","24.0","26.0","107.0","48.0","59.0","25.0","11.0"
"　有田川町","169.0","62.0","107.0","379.0","214.0","165.0","117.0","48.0"
"","","","","","","","",""
"　美 浜 町","46.0","22.0","24.0","119.0","52.0","67.0","35.0","10.0"
"　日 高 町","59.0","33.0","26.0","85.0","41.0","44.0","39.0","13.0"
"　由 良 町","29.0","16.0","13.0","92.0","39.0","53.0","15.0","9.0"
"　印 南 町","58.0","31.0","27.0","136.0","73.0","63.0","36.0","7.0"
"　みなべ町","94.0","51.0","43.0","169.0","84.0","85.0","51.0","17.0"
"　日高川町","60.0","32.0","28.0","157.0","65.0","92.0","44.0","18.0"
"","","","","","","","",""
"　白 浜 町","122.0","60.0","62.0","372.0","190.0","182.0","82.0","60.0"
"　上富田町","128.0","62.0","66.0","164.0","82.0","82.0","66.0","43.0"
"　すさみ町","26.0","17.0","9.0","97.0","55.0","42.0","10.0","6.0"
"","","","","","","","",""
"　那智勝浦町","108.0","49.0","59.0","269.0","131.0","138.0","69.0","34.0"
"　太 地 町","15.0","7.0","8.0","62.0","27.0","35.0","9.0","2.0"
"　古座川町","9.0","3.0","6.0","75.0","30.0","45.0","4.0","2.0"
"　北 山 村","2.0","0.0","2.0","8.0","5.0","3.0","4.0","0.0"
"　串 本 町","95.0","54.0","41.0","327.0","156.0","171.0","60.0","33.0"
